category,amount,date,description,merchant,payment_method
Alimentation,45.50,2024-01-15,Courses,Carrefour,Carte
Transport,20.00,2024-01-15,Essence,Shell,Carte
Loisirs,30.00,2024-01-16,Cinéma,Cinéma Pathé,Carte
Utilities,150.00,2024-01-16,Électricité,EDF,Virement
Alimentation,52.00,2024-01-17,Courses,Leclerc,Carte
Santé,89.99,2024-01-17,Pharmacie,Pharmacie Centrale,Carte
Transport,15.00,2024-01-18,Bus,RATP,Carte
Alimentation,38.50,2024-01-18,Restaurant,La Trattoria,Carte
Vêtements,120.00,2024-01-19,Chaussures,Nike Store,Carte
Loisirs,25.00,2024-01-19,Bowling,Bowling Palace,Espèces
Restaurants,65.50,2024-01-20,Dîner,Le Comptoir,Carte
Utilities,150.00,2024-01-23,Eau,Veolia,Virement
Alimentation,48.75,2024-01-24,Courses,Auchan,Carte
Transport,18.00,2024-01-25,Taxi,Uber,Carte
Loisirs,40.00,2024-01-25,Jeux vidéo,PlayStation Store,Carte
Santé,25.00,2024-01-26,Dentiste,Cabinet Dubois,Carte
Alimentation,62.30,2024-01-27,Courses,Monoprix,Carte
Restaurants,45.75,2024-01-27,Déjeuner,Subway,Carte
Vêtements,89.90,2024-01-28,Pantalon,H&M,Carte
Transport,22.50,2024-01-29,Carburant,Total,Carte
Loisirs,35.00,2024-01-30,Concert,Ticketmaster,Carte
Alimentation,70.50,2024-02-01,Marché bio,Marché Local,Espèces
Utilities,150.00,2024-02-02,Internet,Orange,Virement
Santé,156.00,2024-02-02,Consultation,Dr Martin,Carte
Restaurants,52.25,2024-02-03,Dîner,Pizzeria Luigi,Carte
Transport,25.00,2024-02-04,Essence,Esso,Carte
Vêtements,199.99,2024-02-05,Manteau,Zara,Carte
Loisirs,48.00,2024-02-06,Théâtre,Fnac Spectacles,Carte
Alimentation,55.60,2024-02-07,Courses,Franprix,Carte
Santé,45.00,2024-02-07,Optique,Optic 2000,Carte
Restaurants,78.50,2024-02-08,Brunch,Le Café du Coin,Carte
Transport,20.00,2024-02-09,Bus abonnement,RATP,Virement
Alimentation,41.25,2024-02-10,Courses,Intermarché,Carte
Loisirs,30.00,2024-02-11,Musée,Musée du Louvre,Carte
Utilities,150.00,2024-02-12,Électricité,EDF,Virement
Restaurants,65.00,2024-02-13,Dîner,Le Saint-Honoré,Carte
Santé,32.50,2024-02-13,Pharmacie,Pharmacie Leclerc,Carte
